Class,FPR,TPR,AUC
Training Stage
PermanentCrop,0.0,0.0,0.991164
PermanentCrop,0.0,0.002,0.991164
PermanentCrop,0.0,0.786,0.991164
PermanentCrop,0.002,0.786,0.991164
PermanentCrop,0.002,0.794,0.991164
PermanentCrop,0.004,0.794,0.991164
PermanentCrop,0.004,0.806,0.991164
PermanentCrop,0.006,0.806,0.991164
PermanentCrop,0.006,0.838,0.991164
PermanentCrop,0.008,0.838,0.991164
PermanentCrop,0.008,0.854,0.991164
PermanentCrop,0.01,0.854,0.991164
PermanentCrop,0.01,0.86,0.991164
PermanentCrop,0.012,0.86,0.991164
PermanentCrop,0.012,0.9,0.991164
PermanentCrop,0.018,0.9,0.991164
PermanentCrop,0.018,0.902,0.991164
PermanentCrop,0.022,0.902,0.991164
PermanentCrop,0.022,0.906,0.991164
PermanentCrop,0.024,0.906,0.991164
PermanentCrop,0.024,0.908,0.991164
PermanentCrop,0.026,0.908,0.991164
PermanentCrop,0.026,0.912,0.991164
PermanentCrop,0.028,0.912,0.991164
PermanentCrop,0.028,0.916,0.991164
PermanentCrop,0.03,0.916,0.991164
PermanentCrop,0.03,0.932,0.991164
PermanentCrop,0.032,0.932,0.991164
PermanentCrop,0.032,0.934,0.991164
PermanentCrop,0.036,0.934,0.991164
PermanentCrop,0.036,0.938,0.991164
PermanentCrop,0.038,0.938,0.991164
PermanentCrop,0.038,0.948,0.991164
PermanentCrop,0.04,0.948,0.991164
PermanentCrop,0.04,0.956,0.991164
PermanentCrop,0.044,0.956,0.991164
PermanentCrop,0.044,0.96,0.991164
PermanentCrop,0.048,0.96,0.991164
PermanentCrop,0.048,0.962,0.991164
PermanentCrop,0.052,0.962,0.991164
PermanentCrop,0.052,0.964,0.991164
PermanentCrop,0.056,0.964,0.991164
PermanentCrop,0.056,0.968,0.991164
PermanentCrop,0.066,0.968,0.991164
PermanentCrop,0.066,0.97,0.991164
PermanentCrop,0.072,0.97,0.991164
PermanentCrop,0.072,0.972,0.991164
PermanentCrop,0.074,0.972,0.991164
PermanentCrop,0.074,0.974,0.991164
PermanentCrop,0.084,0.974,0.991164
PermanentCrop,0.084,0.976,0.991164
PermanentCrop,0.086,0.976,0.991164
PermanentCrop,0.086,0.978,0.991164
PermanentCrop,0.106,0.978,0.991164
PermanentCrop,0.106,0.98,0.991164
PermanentCrop,0.108,0.98,0.991164
PermanentCrop,0.108,0.982,0.991164
PermanentCrop,0.118,0.982,0.991164
PermanentCrop,0.118,0.984,0.991164
PermanentCrop,0.134,0.984,0.991164
PermanentCrop,0.134,0.986,0.991164
PermanentCrop,0.154,0.986,0.991164
PermanentCrop,0.154,0.99,0.991164
PermanentCrop,0.184,0.99,0.991164
PermanentCrop,0.184,0.992,0.991164
PermanentCrop,0.19,0.992,0.991164
PermanentCrop,0.19,0.994,0.991164
PermanentCrop,0.292,0.994,0.991164
PermanentCrop,0.292,0.996,0.991164
PermanentCrop,0.302,0.996,0.991164
PermanentCrop,0.302,0.998,0.991164
PermanentCrop,0.644,0.998,0.991164
PermanentCrop,0.644,1.0,0.991164
PermanentCrop,1.0,1.0,0.991164
