Class,FPR,TPR,AUC
Training Stage
PermanentCrop_LT,0.0,0.0,0.98678
PermanentCrop_LT,0.0,0.002,0.98678
PermanentCrop_LT,0.0,0.118,0.98678
PermanentCrop_LT,0.0,0.122,0.98678
PermanentCrop_LT,0.0,0.228,0.98678
PermanentCrop_LT,0.002,0.228,0.98678
PermanentCrop_LT,0.002,0.454,0.98678
PermanentCrop_LT,0.004,0.454,0.98678
PermanentCrop_LT,0.004,0.476,0.98678
PermanentCrop_LT,0.006,0.476,0.98678
PermanentCrop_LT,0.006,0.754,0.98678
PermanentCrop_LT,0.008,0.754,0.98678
PermanentCrop_LT,0.008,0.796,0.98678
PermanentCrop_LT,0.01,0.796,0.98678
PermanentCrop_LT,0.01,0.81,0.98678
PermanentCrop_LT,0.012,0.81,0.98678
PermanentCrop_LT,0.012,0.832,0.98678
PermanentCrop_LT,0.014,0.832,0.98678
PermanentCrop_LT,0.014,0.834,0.98678
PermanentCrop_LT,0.016,0.834,0.98678
PermanentCrop_LT,0.016,0.842,0.98678
PermanentCrop_LT,0.018,0.842,0.98678
PermanentCrop_LT,0.018,0.846,0.98678
PermanentCrop_LT,0.02,0.846,0.98678
PermanentCrop_LT,0.02,0.86,0.98678
PermanentCrop_LT,0.022,0.86,0.98678
PermanentCrop_LT,0.022,0.872,0.98678
PermanentCrop_LT,0.024,0.872,0.98678
PermanentCrop_LT,0.024,0.884,0.98678
PermanentCrop_LT,0.026,0.884,0.98678
PermanentCrop_LT,0.026,0.888,0.98678
PermanentCrop_LT,0.028,0.888,0.98678
PermanentCrop_LT,0.028,0.894,0.98678
PermanentCrop_LT,0.03,0.894,0.98678
PermanentCrop_LT,0.03,0.896,0.98678
PermanentCrop_LT,0.034,0.896,0.98678
PermanentCrop_LT,0.034,0.898,0.98678
PermanentCrop_LT,0.038,0.898,0.98678
PermanentCrop_LT,0.038,0.902,0.98678
PermanentCrop_LT,0.04,0.902,0.98678
PermanentCrop_LT,0.04,0.904,0.98678
PermanentCrop_LT,0.044,0.904,0.98678
PermanentCrop_LT,0.044,0.914,0.98678
PermanentCrop_LT,0.046,0.914,0.98678
PermanentCrop_LT,0.046,0.918,0.98678
PermanentCrop_LT,0.048,0.918,0.98678
PermanentCrop_LT,0.048,0.926,0.98678
PermanentCrop_LT,0.05,0.926,0.98678
PermanentCrop_LT,0.05,0.93,0.98678
PermanentCrop_LT,0.054,0.93,0.98678
PermanentCrop_LT,0.054,0.934,0.98678
PermanentCrop_LT,0.056,0.934,0.98678
PermanentCrop_LT,0.056,0.936,0.98678
PermanentCrop_LT,0.058,0.936,0.98678
PermanentCrop_LT,0.058,0.944,0.98678
PermanentCrop_LT,0.06,0.944,0.98678
PermanentCrop_LT,0.06,0.946,0.98678
PermanentCrop_LT,0.064,0.946,0.98678
PermanentCrop_LT,0.064,0.948,0.98678
PermanentCrop_LT,0.066,0.948,0.98678
PermanentCrop_LT,0.066,0.952,0.98678
PermanentCrop_LT,0.08,0.952,0.98678
PermanentCrop_LT,0.08,0.956,0.98678
PermanentCrop_LT,0.082,0.956,0.98678
PermanentCrop_LT,0.082,0.958,0.98678
PermanentCrop_LT,0.084,0.958,0.98678
PermanentCrop_LT,0.084,0.96,0.98678
PermanentCrop_LT,0.09,0.96,0.98678
PermanentCrop_LT,0.09,0.962,0.98678
PermanentCrop_LT,0.092,0.962,0.98678
PermanentCrop_LT,0.092,0.968,0.98678
PermanentCrop_LT,0.094,0.968,0.98678
PermanentCrop_LT,0.094,0.97,0.98678
PermanentCrop_LT,0.096,0.97,0.98678
PermanentCrop_LT,0.096,0.972,0.98678
PermanentCrop_LT,0.104,0.972,0.98678
PermanentCrop_LT,0.104,0.976,0.98678
PermanentCrop_LT,0.108,0.976,0.98678
PermanentCrop_LT,0.108,0.978,0.98678
PermanentCrop_LT,0.114,0.978,0.98678
PermanentCrop_LT,0.114,0.982,0.98678
PermanentCrop_LT,0.116,0.982,0.98678
PermanentCrop_LT,0.116,0.984,0.98678
PermanentCrop_LT,0.12,0.984,0.98678
PermanentCrop_LT,0.12,0.986,0.98678
PermanentCrop_LT,0.122,0.986,0.98678
PermanentCrop_LT,0.122,0.988,0.98678
PermanentCrop_LT,0.132,0.988,0.98678
PermanentCrop_LT,0.132,0.99,0.98678
PermanentCrop_LT,0.15,0.99,0.98678
PermanentCrop_LT,0.15,0.992,0.98678
PermanentCrop_LT,0.152,0.992,0.98678
PermanentCrop_LT,0.152,0.994,0.98678
PermanentCrop_LT,0.234,0.994,0.98678
PermanentCrop_LT,0.234,0.996,0.98678
PermanentCrop_LT,0.28,0.996,0.98678
PermanentCrop_LT,0.28,0.998,0.98678
PermanentCrop_LT,0.302,0.998,0.98678
PermanentCrop_LT,0.302,1.0,0.98678
PermanentCrop_LT,1.0,1.0,0.98678
