Class,FPR,TPR,AUC
Training Stage
PermanentCrop_Negative,0.0,0.0,0.985092
PermanentCrop_Negative,0.0,0.002,0.985092
PermanentCrop_Negative,0.0,0.404,0.985092
PermanentCrop_Negative,0.002,0.404,0.985092
PermanentCrop_Negative,0.002,0.468,0.985092
PermanentCrop_Negative,0.004,0.468,0.985092
PermanentCrop_Negative,0.004,0.482,0.985092
PermanentCrop_Negative,0.006,0.482,0.985092
PermanentCrop_Negative,0.006,0.538,0.985092
PermanentCrop_Negative,0.008,0.538,0.985092
PermanentCrop_Negative,0.008,0.686,0.985092
PermanentCrop_Negative,0.012,0.686,0.985092
PermanentCrop_Negative,0.012,0.73,0.985092
PermanentCrop_Negative,0.014,0.73,0.985092
PermanentCrop_Negative,0.014,0.748,0.985092
PermanentCrop_Negative,0.016,0.748,0.985092
PermanentCrop_Negative,0.016,0.826,0.985092
PermanentCrop_Negative,0.018,0.826,0.985092
PermanentCrop_Negative,0.018,0.828,0.985092
PermanentCrop_Negative,0.02,0.828,0.985092
PermanentCrop_Negative,0.02,0.87,0.985092
PermanentCrop_Negative,0.024,0.87,0.985092
PermanentCrop_Negative,0.024,0.878,0.985092
PermanentCrop_Negative,0.028,0.878,0.985092
PermanentCrop_Negative,0.028,0.88,0.985092
PermanentCrop_Negative,0.03,0.88,0.985092
PermanentCrop_Negative,0.03,0.882,0.985092
PermanentCrop_Negative,0.032,0.882,0.985092
PermanentCrop_Negative,0.032,0.902,0.985092
PermanentCrop_Negative,0.036,0.902,0.985092
PermanentCrop_Negative,0.036,0.904,0.985092
PermanentCrop_Negative,0.038,0.904,0.985092
PermanentCrop_Negative,0.038,0.91,0.985092
PermanentCrop_Negative,0.044,0.91,0.985092
PermanentCrop_Negative,0.044,0.916,0.985092
PermanentCrop_Negative,0.046,0.916,0.985092
PermanentCrop_Negative,0.046,0.918,0.985092
PermanentCrop_Negative,0.048,0.918,0.985092
PermanentCrop_Negative,0.048,0.92,0.985092
PermanentCrop_Negative,0.05,0.92,0.985092
PermanentCrop_Negative,0.05,0.932,0.985092
PermanentCrop_Negative,0.054,0.932,0.985092
PermanentCrop_Negative,0.054,0.934,0.985092
PermanentCrop_Negative,0.06,0.934,0.985092
PermanentCrop_Negative,0.06,0.938,0.985092
PermanentCrop_Negative,0.064,0.938,0.985092
PermanentCrop_Negative,0.064,0.944,0.985092
PermanentCrop_Negative,0.066,0.944,0.985092
PermanentCrop_Negative,0.066,0.948,0.985092
PermanentCrop_Negative,0.07,0.948,0.985092
PermanentCrop_Negative,0.07,0.95,0.985092
PermanentCrop_Negative,0.074,0.95,0.985092
PermanentCrop_Negative,0.074,0.958,0.985092
PermanentCrop_Negative,0.078,0.958,0.985092
PermanentCrop_Negative,0.078,0.962,0.985092
PermanentCrop_Negative,0.082,0.962,0.985092
PermanentCrop_Negative,0.082,0.964,0.985092
PermanentCrop_Negative,0.088,0.964,0.985092
PermanentCrop_Negative,0.088,0.966,0.985092
PermanentCrop_Negative,0.09,0.966,0.985092
PermanentCrop_Negative,0.09,0.968,0.985092
PermanentCrop_Negative,0.094,0.968,0.985092
PermanentCrop_Negative,0.094,0.97,0.985092
PermanentCrop_Negative,0.1,0.97,0.985092
PermanentCrop_Negative,0.1,0.972,0.985092
PermanentCrop_Negative,0.104,0.972,0.985092
PermanentCrop_Negative,0.104,0.974,0.985092
PermanentCrop_Negative,0.108,0.974,0.985092
PermanentCrop_Negative,0.108,0.976,0.985092
PermanentCrop_Negative,0.114,0.976,0.985092
PermanentCrop_Negative,0.114,0.978,0.985092
PermanentCrop_Negative,0.12,0.978,0.985092
PermanentCrop_Negative,0.12,0.98,0.985092
PermanentCrop_Negative,0.142,0.98,0.985092
PermanentCrop_Negative,0.142,0.982,0.985092
PermanentCrop_Negative,0.146,0.982,0.985092
PermanentCrop_Negative,0.146,0.984,0.985092
PermanentCrop_Negative,0.148,0.984,0.985092
PermanentCrop_Negative,0.148,0.986,0.985092
PermanentCrop_Negative,0.176,0.986,0.985092
PermanentCrop_Negative,0.176,0.988,0.985092
PermanentCrop_Negative,0.18,0.988,0.985092
PermanentCrop_Negative,0.18,0.99,0.985092
PermanentCrop_Negative,0.21,0.99,0.985092
PermanentCrop_Negative,0.21,0.992,0.985092
PermanentCrop_Negative,0.222,0.992,0.985092
PermanentCrop_Negative,0.222,0.994,0.985092
PermanentCrop_Negative,0.278,0.994,0.985092
PermanentCrop_Negative,0.278,0.996,0.985092
PermanentCrop_Negative,0.282,0.996,0.985092
PermanentCrop_Negative,0.282,0.998,0.985092
PermanentCrop_Negative,0.296,0.998,0.985092
PermanentCrop_Negative,0.296,1.0,0.985092
PermanentCrop_Negative,1.0,1.0,0.985092
