Class,FPR,TPR,AUC
Training Stage
PermanentCrop_Sobel,0.0,0.0,0.9866240000000001
PermanentCrop_Sobel,0.0,0.002,0.9866240000000001
PermanentCrop_Sobel,0.0,0.604,0.9866240000000001
PermanentCrop_Sobel,0.002,0.604,0.9866240000000001
PermanentCrop_Sobel,0.002,0.692,0.9866240000000001
PermanentCrop_Sobel,0.004,0.692,0.9866240000000001
PermanentCrop_Sobel,0.004,0.748,0.9866240000000001
PermanentCrop_Sobel,0.006,0.748,0.9866240000000001
PermanentCrop_Sobel,0.006,0.758,0.9866240000000001
PermanentCrop_Sobel,0.008,0.758,0.9866240000000001
PermanentCrop_Sobel,0.008,0.774,0.9866240000000001
PermanentCrop_Sobel,0.01,0.774,0.9866240000000001
PermanentCrop_Sobel,0.01,0.858,0.9866240000000001
PermanentCrop_Sobel,0.012,0.858,0.9866240000000001
PermanentCrop_Sobel,0.012,0.866,0.9866240000000001
PermanentCrop_Sobel,0.014,0.866,0.9866240000000001
PermanentCrop_Sobel,0.014,0.886,0.9866240000000001
PermanentCrop_Sobel,0.016,0.886,0.9866240000000001
PermanentCrop_Sobel,0.016,0.892,0.9866240000000001
PermanentCrop_Sobel,0.018,0.892,0.9866240000000001
PermanentCrop_Sobel,0.018,0.894,0.9866240000000001
PermanentCrop_Sobel,0.022,0.894,0.9866240000000001
PermanentCrop_Sobel,0.022,0.902,0.9866240000000001
PermanentCrop_Sobel,0.024,0.902,0.9866240000000001
PermanentCrop_Sobel,0.024,0.916,0.9866240000000001
PermanentCrop_Sobel,0.028,0.916,0.9866240000000001
PermanentCrop_Sobel,0.028,0.924,0.9866240000000001
PermanentCrop_Sobel,0.034,0.924,0.9866240000000001
PermanentCrop_Sobel,0.034,0.926,0.9866240000000001
PermanentCrop_Sobel,0.036,0.926,0.9866240000000001
PermanentCrop_Sobel,0.036,0.93,0.9866240000000001
PermanentCrop_Sobel,0.038,0.93,0.9866240000000001
PermanentCrop_Sobel,0.038,0.932,0.9866240000000001
PermanentCrop_Sobel,0.04,0.932,0.9866240000000001
PermanentCrop_Sobel,0.04,0.94,0.9866240000000001
PermanentCrop_Sobel,0.042,0.94,0.9866240000000001
PermanentCrop_Sobel,0.042,0.942,0.9866240000000001
PermanentCrop_Sobel,0.046,0.942,0.9866240000000001
PermanentCrop_Sobel,0.046,0.944,0.9866240000000001
PermanentCrop_Sobel,0.048,0.944,0.9866240000000001
PermanentCrop_Sobel,0.048,0.948,0.9866240000000001
PermanentCrop_Sobel,0.05,0.948,0.9866240000000001
PermanentCrop_Sobel,0.05,0.95,0.9866240000000001
PermanentCrop_Sobel,0.056,0.95,0.9866240000000001
PermanentCrop_Sobel,0.056,0.952,0.9866240000000001
PermanentCrop_Sobel,0.062,0.952,0.9866240000000001
PermanentCrop_Sobel,0.062,0.954,0.9866240000000001
PermanentCrop_Sobel,0.068,0.954,0.9866240000000001
PermanentCrop_Sobel,0.068,0.956,0.9866240000000001
PermanentCrop_Sobel,0.074,0.956,0.9866240000000001
PermanentCrop_Sobel,0.074,0.962,0.9866240000000001
PermanentCrop_Sobel,0.11,0.962,0.9866240000000001
PermanentCrop_Sobel,0.11,0.964,0.9866240000000001
PermanentCrop_Sobel,0.112,0.964,0.9866240000000001
PermanentCrop_Sobel,0.112,0.966,0.9866240000000001
PermanentCrop_Sobel,0.114,0.966,0.9866240000000001
PermanentCrop_Sobel,0.114,0.968,0.9866240000000001
PermanentCrop_Sobel,0.116,0.968,0.9866240000000001
PermanentCrop_Sobel,0.116,0.972,0.9866240000000001
PermanentCrop_Sobel,0.142,0.972,0.9866240000000001
PermanentCrop_Sobel,0.142,0.974,0.9866240000000001
PermanentCrop_Sobel,0.16,0.974,0.9866240000000001
PermanentCrop_Sobel,0.16,0.98,0.9866240000000001
PermanentCrop_Sobel,0.168,0.98,0.9866240000000001
PermanentCrop_Sobel,0.168,0.982,0.9866240000000001
PermanentCrop_Sobel,0.188,0.982,0.9866240000000001
PermanentCrop_Sobel,0.188,0.984,0.9866240000000001
PermanentCrop_Sobel,0.23,0.984,0.9866240000000001
PermanentCrop_Sobel,0.23,0.986,0.9866240000000001
PermanentCrop_Sobel,0.24,0.986,0.9866240000000001
PermanentCrop_Sobel,0.24,0.988,0.9866240000000001
PermanentCrop_Sobel,0.266,0.988,0.9866240000000001
PermanentCrop_Sobel,0.266,0.99,0.9866240000000001
PermanentCrop_Sobel,0.286,0.99,0.9866240000000001
PermanentCrop_Sobel,0.286,0.992,0.9866240000000001
PermanentCrop_Sobel,0.326,0.992,0.9866240000000001
PermanentCrop_Sobel,0.326,0.994,0.9866240000000001
PermanentCrop_Sobel,0.37,0.994,0.9866240000000001
PermanentCrop_Sobel,0.37,0.996,0.9866240000000001
PermanentCrop_Sobel,0.478,0.996,0.9866240000000001
PermanentCrop_Sobel,0.478,0.998,0.9866240000000001
PermanentCrop_Sobel,0.664,0.998,0.9866240000000001
PermanentCrop_Sobel,0.664,1.0,0.9866240000000001
PermanentCrop_Sobel,1.0,1.0,0.9866240000000001
